order_item_id,order_id,product_id,quantity
1,1,41,2
2,2,42,2
3,2,8,1
4,2,3,1
5,3,32,1
6,3,7,1
7,3,35,1
8,4,30,2
9,4,43,3
10,4,45,3
11,4,27,3
12,5,27,3
13,5,7,2
14,6,18,1
15,6,45,2
16,6,14,2
17,6,29,1
18,7,7,3
19,7,24,3
20,7,42,2
21,8,26,2
22,9,8,2
23,9,6,3
24,10,42,3
25,10,39,1
26,11,22,1
27,12,37,1
28,12,5,3
29,13,38,1
30,13,15,2
31,14,39,1
32,14,18,1
33,15,35,2
34,15,12,1
35,16,9,1
36,17,16,3
37,17,21,1
38,17,12,2
39,18,9,3
40,19,34,1
41,19,48,1
42,19,31,2
43,19,50,2
44,20,29,3
45,21,40,1
46,21,47,3
47,22,30,3
48,22,2,1
49,22,31,2
50,23,44,1
51,23,32,3
52,23,29,1
53,23,6,2
54,24,5,1
55,24,18,3
56,25,25,3
57,25,34,2
58,25,30,3
59,26,7,3
60,26,8,3
61,26,42,3
62,26,47,1
63,27,29,1
64,27,27,2
65,27,30,2
66,27,27,3
67,28,21,2
68,29,43,2
69,29,24,1
70,29,44,2
71,30,6,1
72,31,28,1
73,32,9,3
74,32,4,3
75,32,36,3
76,33,43,1
77,33,27,2
78,33,43,2
79,34,19,3
80,35,23,1
81,35,37,3
82,35,14,1
83,36,15,1
84,36,23,3
85,36,24,1
86,36,49,2
87,37,28,3
88,37,50,3
89,38,39,3
90,39,2,1
91,39,18,3
92,39,49,2
93,40,23,1
94,40,12,1
95,40,37,3
96,41,5,1
97,41,48,3
98,41,2,1
99,41,48,3
100,42,25,2
101,42,30,2
102,43,24,2
103,43,47,2
104,44,4,1
105,45,49,3
106,45,4,3
107,46,18,2
108,47,32,3
109,47,29,2
110,47,18,1
111,47,49,3
112,48,23,2
113,49,19,3
114,50,34,3
115,50,20,1
116,50,15,2
117,50,39,1
118,51,14,2
119,52,50,1
120,52,49,2
121,53,21,1
122,53,1,2
123,53,48,2
124,54,9,2
125,54,35,3
126,55,33,3
127,55,43,2
128,56,26,3
129,57,28,1
130,58,5,2
131,58,37,2
132,58,37,2
133,58,46,3
134,59,19,1
135,59,26,1
136,59,21,1
137,59,40,2
138,60,6,2
139,60,7,1
140,60,28,3
141,61,34,1
142,61,26,2
143,61,48,2
144,61,15,2
145,62,5,3
146,62,41,1
147,63,50,2
148,63,23,3
149,64,16,1
150,64,10,2
151,65,12,3
152,65,10,3
153,66,12,3
154,67,30,3
155,67,49,3
156,67,29,3
157,67,37,3
158,68,41,2
159,68,10,2
160,68,5,2
161,69,41,2
162,69,18,3
163,69,4,2
164,69,33,1
165,70,30,2
166,70,3,1
167,70,24,2
168,71,42,1
169,72,30,3
170,72,36,3
171,72,3,2
172,72,37,3
173,73,21,3
174,73,31,3
175,74,4,2
176,74,7,2
177,75,33,3
178,76,3,1
179,76,46,2
180,77,34,3
181,77,40,1
182,77,24,2
183,77,19,2
184,78,50,2
185,78,44,3
186,78,4,3
187,78,42,2
188,79,22,1
189,80,19,2
190,80,47,3
191,80,39,1
192,80,22,1
193,81,23,2
194,81,42,3
195,82,9,3
196,82,46,1
197,82,20,3
198,82,25,3
199,83,9,3
200,83,45,3
201,83,44,3
202,84,42,3
203,85,33,2
204,85,2,2
205,85,20,1
206,85,14,2
207,86,13,1
208,86,9,1
209,86,5,2
210,86,7,3
211,87,43,2
212,88,39,2
213,88,10,1
214,89,45,3
215,89,11,3
216,90,3,2
217,90,24,3
218,90,47,1
219,90,29,3
220,91,49,3
221,91,29,1
222,91,35,1
223,92,31,1
224,92,24,3
225,92,37,2
226,93,50,2
227,93,50,2
228,93,33,3
229,93,27,1
230,94,39,1
231,94,17,1
232,95,24,3
233,95,7,3
234,95,34,1
235,95,19,1
236,96,18,2
237,96,33,1
238,97,6,1
239,97,29,2
240,97,2,2
241,97,4,2
242,98,16,2
243,98,6,2
244,98,15,1
245,99,7,3
246,99,42,2
247,99,10,1
248,100,19,2
249,101,49,3
250,101,31,2
251,102,6,1
252,103,14,1
253,103,36,3
254,103,39,3
255,104,8,2
256,104,16,2
257,104,8,1
258,104,16,2
259,105,5,1
260,105,32,3
261,105,35,1
262,105,41,3
263,106,46,1
264,106,19,2
265,107,40,2
266,108,37,2
267,108,12,3
268,109,34,2
269,110,34,3
270,111,25,2
271,112,41,2
272,113,17,3
273,113,2,2
274,113,5,2
275,114,47,3
276,114,41,1
277,115,9,1
278,115,23,3
279,115,22,3
280,116,50,3
281,116,30,3
282,117,41,1
283,117,9,1
284,117,46,2
285,117,3,2
286,118,3,1
287,118,3,2
288,119,33,2
289,119,35,2
290,119,17,1
291,120,19,2
292,120,50,1
293,121,18,1
294,121,24,2
295,121,26,3
296,122,25,2
297,122,12,2
298,122,45,2
299,122,24,3
300,123,6,3
301,123,28,1
302,123,28,3
303,124,35,2
304,124,21,1
305,125,21,3
306,126,20,2
307,126,39,3
308,126,28,1
309,127,23,2
310,127,3,3
311,127,23,3
312,127,28,2
313,128,5,3
314,129,24,3
315,129,48,3
316,129,11,1
317,129,10,3
318,130,3,1
319,130,5,1
320,130,50,3
321,130,24,2
322,131,37,1
323,131,39,1
324,131,44,2
325,131,24,2
326,132,49,1
327,132,37,1
328,132,34,2
329,132,26,2
330,133,16,1
331,133,2,3
332,133,12,2
333,134,36,1
334,134,17,2
335,134,46,2
336,134,14,3
337,135,45,2
338,135,13,1
339,135,9,1
340,136,12,3
341,136,29,1
342,136,44,2
343,136,43,2
344,137,36,3
345,138,20,1
346,138,46,3
347,138,45,3
348,139,24,3
349,139,15,1
350,140,9,1
351,140,32,1
352,141,36,3
353,141,24,2
354,141,36,1
355,142,5,2
356,143,46,3
357,143,31,3
358,143,27,2
359,143,37,1
360,144,21,3
361,144,5,2
362,145,44,3
363,145,23,1
364,145,50,3
365,145,41,3
366,146,50,1
367,146,28,3
368,147,8,3
369,148,20,1
370,148,11,2
371,149,23,3
372,149,19,1
373,150,13,3
374,150,36,2
375,150,9,3
376,151,40,3
377,151,6,3
378,151,42,1
379,152,11,3
380,152,40,3
381,153,37,1
382,153,2,1
383,153,3,3
384,154,42,1
385,154,50,3
386,154,27,3
387,155,32,3
388,156,42,2
389,156,31,1
390,156,44,2
391,157,30,1
392,157,45,1
393,157,11,2
394,158,31,2
395,158,14,2
396,158,39,1
397,158,21,3
398,159,47,2
399,159,26,1
400,159,49,2
401,160,21,1
402,161,8,2
403,161,29,1
404,161,10,1
405,161,4,2
406,162,40,2
407,162,16,1
408,162,21,3
409,162,47,2
410,163,49,1
411,163,32,3
412,164,32,2
413,164,32,1
414,164,6,2
415,164,33,2
416,165,14,3
417,165,23,1
418,166,19,2
419,167,19,3
420,167,1,1
421,167,28,1
422,167,17,3
423,168,49,2
424,168,24,1
425,168,26,1
426,169,24,3
427,169,19,1
428,170,33,2
429,170,49,3
430,170,18,3
431,170,44,3
432,171,9,1
433,172,24,2
434,172,36,2
435,172,49,1
436,172,13,3
437,173,33,1
438,173,3,1
439,173,9,3
440,173,22,2
441,174,10,3
442,174,33,1
443,174,21,3
444,174,21,1
445,175,40,3
446,175,20,3
447,175,22,3
448,175,33,3
449,176,46,3
450,176,20,2
451,176,2,2
452,176,22,3
453,177,27,3
454,178,47,3
455,178,41,1
456,178,39,2
457,179,42,3
458,179,37,1
459,179,47,1
460,180,11,3
461,180,41,3
462,180,40,2
463,180,10,3
464,181,3,3
465,181,45,1
466,182,2,2
467,182,21,2
468,183,27,3
469,183,14,2
470,184,48,3
471,184,4,3
472,184,9,3
473,184,14,3
474,185,43,2
475,185,34,2
476,185,21,1
477,186,35,2
478,186,35,2
479,186,44,3
480,186,44,3
481,187,40,2
482,187,13,1
483,187,18,3
484,188,15,2
485,188,50,2
486,188,46,1
487,189,21,2
488,189,23,3
489,189,47,2
490,189,19,1
491,190,26,2
492,190,50,1
493,190,19,1
494,190,19,3
495,191,23,2
496,192,48,2
497,192,14,1
498,192,35,2
499,193,9,1
500,193,40,3
501,193,38,1
502,194,4,3
503,194,34,1
504,195,4,1
505,195,27,2
506,196,7,3
507,196,50,1
508,196,1,3
509,196,11,2
510,197,31,3
511,197,13,2
512,197,21,2
513,197,42,1
514,198,42,3
515,199,35,3
516,199,47,1
517,200,27,1
518,200,3,2
519,201,12,3
520,201,19,1
521,201,1,2
522,201,37,3
523,202,22,2
524,203,42,3
525,203,34,2
526,203,9,3
527,203,30,2
528,204,8,2
529,204,11,3
530,205,42,2
531,205,46,1
532,205,1,3
533,205,22,2
534,206,12,3
535,206,41,2
536,207,33,2
537,207,6,2
538,207,43,1
539,207,12,1
540,208,21,1
541,208,1,2
542,208,25,1
543,208,29,2
544,209,20,3
545,209,47,3
546,209,1,2
547,210,45,1
548,210,4,3
549,210,8,2
550,211,11,2
551,211,44,3
552,211,46,2
553,212,41,2
554,213,40,1
555,213,15,1
556,213,31,1
557,214,48,3
558,214,24,2
559,214,45,3
560,214,31,3
561,215,49,1
562,215,44,3
563,216,34,2
564,217,5,3
565,217,8,1
566,217,36,3
567,218,37,3
568,218,10,1
569,219,34,2
570,219,8,3
571,219,14,3
572,220,6,3
573,220,29,1
574,220,30,1
575,220,33,2
576,221,37,1
577,221,36,2
578,221,44,2
579,221,47,1
580,222,17,1
581,222,48,1
582,222,38,1
583,222,3,2
584,223,45,1
585,223,35,1
586,223,5,2
587,224,19,2
588,225,50,1
589,225,50,3
590,226,24,2
591,226,29,2
592,226,25,1
593,226,44,3
594,227,42,2
595,227,8,1
596,228,34,1
597,228,47,1
598,228,1,1
599,228,20,2
600,229,35,2
601,229,15,1
602,229,30,2
603,229,10,2
604,230,47,1
605,230,3,3
606,231,40,1
607,231,16,1
608,231,5,1
609,231,39,1
610,232,39,3
611,232,46,1
612,232,16,3
613,232,3,2
614,233,15,3
615,233,14,1
616,233,9,3
617,233,19,1
618,234,37,3
619,234,50,3
620,234,21,1
621,235,10,3
622,235,34,1
623,235,27,2
624,236,4,3
625,236,38,3
626,236,12,3
627,237,36,2
628,237,4,2
629,237,42,3
630,237,25,3
631,238,45,2
632,238,27,1
633,238,20,2
634,239,49,3
635,239,31,1
636,240,20,3
637,240,10,2
638,241,36,2
639,242,36,3
640,242,9,2
641,242,16,2
642,242,14,2
643,243,29,2
644,244,35,3
645,245,4,2
646,245,25,3
647,246,5,1
648,247,31,1
649,247,22,2
650,248,14,1
651,249,48,2
652,250,45,3
653,250,46,1
654,251,16,3
655,251,21,2
656,251,25,2
657,251,35,3
658,252,20,2
659,252,24,3
660,252,32,2
661,253,47,2
662,254,14,2
663,254,21,2
664,254,3,3
665,255,48,1
666,255,2,2
667,256,19,1
668,256,13,2
669,256,15,2
670,256,37,1
671,257,36,3
672,257,44,2
673,257,17,2
674,257,47,3
675,258,30,1
676,258,47,2
677,258,11,1
678,258,47,3
679,259,12,3
680,259,42,1
681,259,34,1
682,259,5,3
683,260,49,1
684,261,9,3
685,261,15,1
686,261,46,1
687,261,1,1
688,262,24,1
689,262,40,3
690,262,43,3
691,262,31,3
692,263,2,1
693,263,35,3
694,263,27,1
695,263,2,3
696,264,35,2
697,264,2,3
698,264,45,3
699,265,12,1
700,265,7,3
701,265,10,1
702,265,13,3
703,266,23,2
704,266,26,1
705,266,24,2
706,267,37,1
707,267,45,1
708,267,20,3
709,267,6,3
710,268,6,2
711,269,25,3
712,269,31,1
713,269,41,1
714,269,45,1
715,270,32,2
716,271,37,1
717,271,34,1
718,271,15,1
719,272,18,1
720,272,5,3
721,272,18,3
722,272,37,3
723,273,12,2
724,274,14,3
725,275,49,3
726,275,26,1
727,276,11,3
728,276,16,3
729,276,25,3
730,277,25,3
731,277,9,3
732,277,47,1
733,278,4,1
734,278,28,1
735,278,5,2
736,279,50,2
737,279,2,3
738,279,18,2
739,279,32,1
740,280,36,2
741,280,28,1
742,280,44,3
743,281,6,3
744,281,19,1
745,281,46,1
746,281,6,2
747,282,25,3
748,282,41,1
749,283,21,2
750,283,7,1
751,283,1,2
752,283,29,2
753,284,7,1
754,284,6,1
755,284,28,2
756,285,7,1
757,285,6,2
758,285,36,1
759,285,39,3
760,286,25,1
761,286,19,2
762,286,25,1
763,287,37,3
764,287,11,3
765,288,11,1
766,288,18,2
767,288,18,2
768,288,10,1
769,289,28,2
770,289,27,2
771,290,5,2
772,290,17,1
773,290,47,3
774,290,32,3
775,291,30,1
776,291,9,2
777,292,26,2
778,293,22,2
779,293,22,2
780,293,42,3
781,293,9,2
782,294,39,3
783,294,13,2
784,294,21,1
785,295,21,2
786,295,48,3
787,295,41,2
788,295,37,1
789,296,25,2
790,296,26,2
791,296,8,3
792,297,38,3
793,297,12,3
794,298,47,2
795,299,29,2
796,299,45,1
797,300,44,2
798,300,9,3
799,300,20,1
800,300,17,3
801,301,46,2
802,301,25,1
803,302,39,2
804,302,38,2
805,302,35,3
806,302,45,2
807,303,24,3
808,304,7,1
809,305,11,3
810,305,40,1
811,305,37,3
812,306,49,2
813,306,28,1
814,306,1,1
815,306,17,1
816,307,29,2
817,307,26,2
818,308,23,1
819,308,31,1
820,309,27,1
821,309,8,3
822,309,10,2
823,310,22,2
824,310,14,3
825,310,31,2
826,311,7,2
827,311,47,3
828,311,29,2
829,311,5,2
830,312,46,1
831,313,22,3
832,314,44,1
833,315,34,1
834,315,36,1
835,316,36,2
836,316,30,1
837,316,26,3
838,317,12,3
839,317,43,2
840,318,2,3
841,318,40,1
842,318,29,3
843,318,28,2
844,319,46,1
845,320,18,3
846,320,5,3
847,321,35,1
848,322,21,1
849,322,30,1
850,322,17,3
851,323,34,3
852,323,21,3
853,323,25,3
854,323,26,3
855,324,23,2
856,325,40,1
857,325,44,3
858,325,20,3
859,325,38,1
860,326,21,1
861,326,16,2
862,327,12,2
863,328,33,2
864,328,27,3
865,329,37,2
866,329,28,1
867,330,41,3
868,330,45,3
869,330,12,3
870,330,11,2
871,331,9,1
872,331,21,2
873,331,40,1
874,332,1,2
875,332,9,1
876,332,25,3
877,333,27,3
878,333,32,2
879,333,46,2
880,333,32,1
881,334,37,1
882,335,19,1
883,335,18,1
884,336,11,2
885,336,37,3
886,336,50,2
887,337,37,1
888,338,50,3
889,338,24,3
890,338,49,1
891,339,35,1
892,339,28,1
893,339,48,3
894,339,49,1
895,340,3,2
896,340,17,2
897,340,6,2
898,341,50,1
899,342,48,3
900,342,45,2
901,343,11,3
902,343,9,1
903,343,14,1
904,343,37,2
905,344,39,3
906,344,11,2
907,344,46,2
908,345,37,2
909,345,33,3
910,345,7,1
911,346,4,2
912,346,42,1
913,346,45,1
914,346,16,1
915,347,16,3
916,347,26,2
917,347,10,3
918,348,41,2
919,348,25,2
920,348,5,3
921,349,26,3
922,350,45,2
923,350,30,2
924,350,21,3
925,351,50,3
926,352,47,2
927,353,5,3
928,353,26,1
929,353,28,1
930,354,18,2
931,354,19,2
932,354,36,3
933,354,9,3
934,355,22,3
935,355,49,1
936,355,3,1
937,355,41,2
938,356,8,1
939,357,30,1
940,357,28,1
941,357,45,1
942,357,42,2
943,358,18,1
944,358,42,2
945,359,6,2
946,359,43,3
947,359,11,1
948,360,41,2
949,360,47,3
950,360,49,1
951,360,28,3
952,361,46,1
953,362,14,2
954,363,9,3
955,364,34,3
956,364,29,1
957,365,45,2
958,366,28,3
959,367,31,1
960,367,15,2
961,368,47,1
962,369,21,2
963,370,9,2
964,370,50,1
965,370,42,3
966,371,5,3
967,371,37,1
968,372,29,2
969,372,47,1
970,373,27,3
971,373,44,2
972,374,6,1
973,374,9,1
974,375,23,2
975,375,21,1
976,375,16,2
977,375,42,1
978,376,36,3
979,376,39,3
980,377,50,3
981,377,2,3
982,377,20,1
983,378,48,2
984,378,19,3
985,379,16,2
986,380,8,1
987,380,32,3
988,380,39,1
989,380,34,1
990,381,21,1
991,381,25,3
992,381,27,2
993,382,49,2
994,382,50,1
995,383,38,1
996,384,17,1
997,385,4,2
998,386,41,3
999,386,33,2
1000,386,28,3
1001,387,6,3
1002,387,35,3
1003,387,40,1
1004,387,18,1
1005,388,6,3
1006,388,14,1
1007,388,35,2
1008,389,38,3
1009,389,49,3
1010,389,44,3
1011,389,5,2
1012,390,47,1
1013,390,4,1
1014,390,6,2
1015,390,8,2
1016,391,20,3
1017,392,8,1
1018,392,46,1
1019,393,11,2
1020,394,34,3
1021,394,47,2
1022,394,11,2
1023,395,48,2
1024,395,47,1
1025,396,22,2
1026,397,34,1
1027,397,17,3
1028,397,37,3
1029,398,32,2
1030,399,4,2
1031,399,37,1
1032,399,24,1
1033,400,50,1
1034,400,37,3
1035,400,47,1
1036,401,48,3
1037,401,1,1
1038,402,16,1
1039,403,24,2
1040,403,10,1
1041,403,3,3
1042,403,46,3
1043,404,15,2
1044,404,16,2
1045,404,47,2
1046,404,18,1
1047,405,8,3
1048,405,44,1
1049,405,12,1
1050,406,26,1
1051,407,19,2
1052,407,21,1
1053,407,36,2
1054,407,1,2
1055,408,19,3
1056,408,20,3
1057,409,30,2
1058,409,38,2
1059,410,47,3
1060,410,49,1
1061,411,1,2
1062,411,2,1
1063,412,41,3
1064,412,1,2
1065,412,1,3
1066,413,48,3
1067,413,20,1
1068,413,14,3
1069,413,16,2
1070,414,4,1
1071,414,46,2
1072,414,6,1
1073,414,15,3
1074,415,45,2
1075,415,30,3
1076,415,6,3
1077,415,7,3
1078,416,41,2
1079,416,5,3
1080,417,28,3
1081,418,16,2
1082,418,17,2
1083,419,45,3
1084,419,21,2
1085,419,29,2
1086,419,15,1
1087,420,9,3
1088,420,7,1
1089,421,11,2
1090,422,21,2
1091,422,8,3
1092,422,23,1
1093,422,29,2
1094,423,17,1
1095,423,6,1
1096,423,44,2
1097,423,46,3
1098,424,14,2
1099,425,6,3
1100,425,16,2
1101,426,33,1
1102,426,44,2
1103,426,17,1
1104,426,2,2
1105,427,36,3
1106,427,36,1
1107,427,7,2
1108,427,7,1
1109,428,1,1
1110,429,9,1
1111,429,26,2
1112,430,38,3
1113,431,5,1
1114,431,5,1
1115,431,42,2
1116,432,6,2
1117,432,8,1
1118,433,4,1
1119,433,37,2
1120,433,47,2
1121,433,32,1
1122,434,44,2
1123,434,12,2
1124,434,14,1
1125,434,18,2
1126,435,10,1
1127,435,40,3
1128,435,40,1
1129,435,42,2
1130,436,27,3
1131,436,31,1
1132,436,6,2
1133,436,25,1
1134,437,13,3
1135,437,34,1
1136,437,41,3
1137,437,2,2
1138,438,31,3
1139,438,32,2
1140,438,37,3
1141,439,25,2
1142,439,12,1
1143,439,21,3
1144,440,2,2
1145,440,4,2
1146,441,50,3
1147,441,15,1
1148,441,7,1
1149,442,18,3
1150,442,48,1
1151,443,37,2
1152,443,23,1
1153,444,16,3
1154,444,21,3
1155,445,38,1
1156,445,46,3
1157,445,23,3
1158,446,37,1
1159,446,32,3
1160,447,12,2
1161,447,3,1
1162,447,4,1
1163,448,2,3
1164,448,31,1
1165,449,40,1
1166,449,9,2
1167,449,46,1
1168,450,4,1
1169,450,10,3
1170,450,46,1
1171,451,34,2
1172,452,24,3
1173,453,38,1
1174,453,22,2
1175,453,21,1
1176,453,11,3
1177,454,41,2
1178,454,42,2
1179,454,12,3
1180,454,36,3
1181,455,15,3
1182,455,38,1
1183,455,25,2
1184,456,9,1
1185,456,47,1
1186,456,45,3
1187,457,50,3
1188,457,3,1
1189,457,39,2
1190,457,40,1
1191,458,32,1
1192,459,48,1
1193,459,16,2
1194,459,21,1
1195,460,46,3
1196,461,29,1
1197,461,17,1
1198,461,16,3
1199,462,23,2
1200,463,47,1
1201,464,25,2
1202,465,11,2
1203,465,32,2
1204,465,23,3
1205,465,25,1
1206,466,37,3
1207,466,49,3
1208,466,15,1
1209,466,29,1
1210,467,19,1
1211,468,17,1
1212,468,5,2
1213,468,11,2
1214,469,47,1
1215,469,36,1
1216,470,39,3
1217,470,31,3
1218,470,2,2
1219,471,39,2
1220,471,11,1
1221,472,22,1
1222,473,27,3
1223,473,36,3
1224,474,43,2
1225,474,20,1
1226,474,7,1
1227,475,37,3
1228,475,32,1
1229,475,4,2
1230,475,1,2
1231,476,19,3
1232,477,13,1
1233,477,2,1
1234,477,11,3
1235,477,19,1
1236,478,8,2
1237,478,26,2
1238,478,32,3
1239,478,17,1
1240,479,12,2
1241,479,25,2
1242,479,12,2
1243,479,3,2
1244,480,30,2
1245,480,15,2
1246,480,37,1
1247,480,10,3
1248,481,6,3
1249,482,35,2
1250,482,49,3
1251,482,15,3
1252,483,25,3
1253,484,35,3
1254,484,31,3
1255,484,16,2
1256,484,20,1
1257,485,46,1
1258,485,33,3
1259,485,34,3
1260,485,44,3
1261,486,8,2
1262,486,12,1
1263,487,13,1
1264,487,3,2
1265,488,44,2
1266,489,41,1
1267,489,39,2
1268,490,47,1
1269,490,6,2
1270,490,36,2
1271,491,18,3
1272,491,30,1
1273,491,45,3
1274,492,8,2
1275,492,10,1
1276,492,37,3
1277,492,38,1
1278,493,37,1
1279,494,35,2
1280,494,27,2
1281,494,25,3
1282,495,37,3
