product_id,name,category,price,stock
1,odio 세트,의류,192000,140
2,tempora 패키지,전자기기,38000,52
3,magni 세트,생활용품,111000,16
4,blanditiis 세트,의류,58000,119
5,qui 세트,생활용품,53000,279
6,voluptatum 프리미엄,전자기기,117000,142
7,molestiae 세트,스포츠,43000,216
8,quaerat 기본형,식품,42000,110
9,similique 기본형,의류,26000,194
10,dolore 세트,식품,91000,135
11,minus 세트,뷰티,120000,274
12,quo 세트,도서,23000,282
13,modi 기본형,스포츠,163000,185
14,aperiam 패키지,뷰티,20000,23
15,dolores 패키지,스포츠,77000,40
16,iusto 패키지,스포츠,28000,194
17,recusandae 기본형,도서,165000,186
18,unde 패키지,식품,93000,107
19,distinctio 기본형,뷰티,177000,36
20,dolorem 패키지,생활용품,189000,125
21,dignissimos 패키지,도서,100000,138
22,dolorum 패키지,뷰티,86000,28
23,asperiores 패키지,스포츠,11000,161
24,nihil 프리미엄,식품,19000,108
25,inventore 기본형,전자기기,170000,255
26,ipsa 프리미엄,뷰티,120000,73
27,occaecati 기본형,전자기기,66000,287
28,illo 기본형,뷰티,152000,219
29,sunt 프리미엄,식품,59000,70
30,ducimus 프리미엄,의류,196000,24
31,cumque 세트,전자기기,163000,81
32,delectus 프리미엄,생활용품,19000,197
33,eligendi 프리미엄,생활용품,122000,270
34,a 기본형,생활용품,5000,58
35,soluta 기본형,스포츠,167000,174
36,explicabo 세트,식품,114000,80
37,accusantium 프리미엄,의류,187000,134
38,officia 패키지,생활용품,30000,152
39,praesentium 패키지,전자기기,98000,82
40,praesentium 세트,생활용품,85000,250
41,quisquam 세트,의류,95000,157
42,ab 패키지,의류,64000,290
43,sequi 세트,의류,190000,248
44,possimus 세트,스포츠,139000,64
45,ex 패키지,뷰티,124000,281
46,esse 패키지,식품,138000,216
47,repudiandae 패키지,생활용품,196000,102
48,unde 기본형,도서,174000,191
49,pariatur 프리미엄,생활용품,118000,61
50,odit 패키지,전자기기,19000,173
